loc,lat,long,
UCD,53.305851,-6.224472,0
Croke Park,53.360274,-6.253532,1
Mater Hospital,53.360376,-6.267312,2
IrishTown,53.33611,-6.221883,3
Rotunda,53.35254,-6.261772,4
Guinness,53.341584,-6.287498,5
Phoenix Park,53.36022,-6.325998,6
Dublin Port,53.344927,-6.196374,7
Jervis,53.347704,-6.266259,8
St Vincents,53.364965,-6.244263,9
Convention Centre,53.347652,-6.239244,10
The Dail,53.33986,-6.255811,11
Kilmainham Hospital,53.344233,-6.30242,12
Aviva,53.335211,-6.228442,13
3Arena,53.347373,-6.228367,14
National Concert Hall,53.334637,-6.259139,15
Donnybrook,53.31895,-6.232387,16
RDS,53.325748,-6.231174,17
Stephen's Green,53.336337,-6.257388,18
Mountjoy Square,53.357568,-6.256862,19
CrossCare,53.364419,-6.250306,20
